Language,PSA_ID,Subject,Match,V_RT,V_Acc
Arabic,ARE_001,osweb_ARE_001_4251,N,205,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_4251,Y,175.5,0.5833333333333334
Arabic,ARE_001,osweb_ARE_001_4304,N,581,0.75
Arabic,ARE_001,osweb_ARE_001_4304,Y,683,0.6666666666666666
Arabic,ARE_001,osweb_ARE_001_4324,N,477.5,0.75
Arabic,ARE_001,osweb_ARE_001_4324,Y,616,0.75
Arabic,ARE_001,osweb_ARE_001_4423,N,347.5,0.6666666666666666
Arabic,ARE_001,osweb_ARE_001_4423,Y,363.5,1
Arabic,ARE_001,osweb_ARE_001_4484,N,271,0.75
Arabic,ARE_001,osweb_ARE_001_4484,Y,358,0.6666666666666666
Arabic,ARE_001,osweb_ARE_001_4684,N,554,0.6666666666666666
Arabic,ARE_001,osweb_ARE_001_4684,Y,428.5,0.75
Arabic,ARE_001,osweb_ARE_001_4688,N,692.5,0.5833333333333334
Arabic,ARE_001,osweb_ARE_001_4688,Y,592,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_4903,N,587,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_4903,Y,565.5,0.8333333333333334
Arabic,ARE_001,osweb_ARE_001_4935,N,624,0.75
Arabic,ARE_001,osweb_ARE_001_4935,Y,521.5,0.75
Arabic,ARE_001,osweb_ARE_001_4936,N,550.5,0.75
Arabic,ARE_001,osweb_ARE_001_4936,Y,583.5,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_4937,N,451.5,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_4937,Y,523,0.8333333333333334
Arabic,ARE_001,osweb_ARE_001_5003,N,543.5,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_5003,Y,527,0.8333333333333334
Arabic,ARE_001,osweb_ARE_001_5008,N,559.5,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_5008,Y,545,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_5022,N,508,0.8333333333333334
Arabic,ARE_001,osweb_ARE_001_5022,Y,552,0.8333333333333334
Arabic,ARE_001,osweb_ARE_001_5045,N,621,0.75
Arabic,ARE_001,osweb_ARE_001_5045,Y,509.5,0.9166666666666666
Arabic,ARE_001,osweb_ARE_001_5046,N,491.5,0.8333333333333334
Arabic,ARE_001,osweb_ARE_001_5046,Y,521,1
Arabic,ARE_002,osweb_ARE_002_1875,N,996,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_1875,Y,976.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_1884,N,565.5,1
Arabic,ARE_002,osweb_ARE_002_1884,Y,520.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_1902,N,756,1
Arabic,ARE_002,osweb_ARE_002_1902,Y,698.5,1
Arabic,ARE_002,osweb_ARE_002_1918,N,824.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_1918,Y,784.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_1922,N,623.5,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_1922,Y,641.5,1
Arabic,ARE_002,osweb_ARE_002_1939,N,625.5,1
Arabic,ARE_002,osweb_ARE_002_1939,Y,455.5,1
Arabic,ARE_002,osweb_ARE_002_2066,N,819.5,1
Arabic,ARE_002,osweb_ARE_002_2066,Y,1009,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_2084,N,842,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2084,Y,932,0.75
Arabic,ARE_002,osweb_ARE_002_2094,N,712,1
Arabic,ARE_002,osweb_ARE_002_2094,Y,705.5,1
Arabic,ARE_002,osweb_ARE_002_2101,N,552.5,0.6666666666666666
Arabic,ARE_002,osweb_ARE_002_2101,Y,566.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2122,N,667.5,1
Arabic,ARE_002,osweb_ARE_002_2122,Y,817,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_2152,N,589,1
Arabic,ARE_002,osweb_ARE_002_2152,Y,528.5,1
Arabic,ARE_002,osweb_ARE_002_2155,N,974,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2155,Y,632,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2177,N,522.5,1
Arabic,ARE_002,osweb_ARE_002_2177,Y,483,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2187,N,692.5,1
Arabic,ARE_002,osweb_ARE_002_2187,Y,946,1
Arabic,ARE_002,osweb_ARE_002_2237,N,553.5,1
Arabic,ARE_002,osweb_ARE_002_2237,Y,710,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2253,N,419.5,1
Arabic,ARE_002,osweb_ARE_002_2253,Y,368,1
Arabic,ARE_002,osweb_ARE_002_2259,N,468.5,1
Arabic,ARE_002,osweb_ARE_002_2259,Y,531,1
Arabic,ARE_002,osweb_ARE_002_2394,N,1076.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2394,Y,1198.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2398,N,645.5,1
Arabic,ARE_002,osweb_ARE_002_2398,Y,588.5,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_2437,N,861,1
Arabic,ARE_002,osweb_ARE_002_2437,Y,852.5,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_2447,N,810.5,0.75
Arabic,ARE_002,osweb_ARE_002_2447,Y,808,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_2573,N,895.5,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_2573,Y,842.5,1
Arabic,ARE_002,osweb_ARE_002_2615,N,893.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2615,Y,970,1
Arabic,ARE_002,osweb_ARE_002_2627,N,524.5,0.9166666666666666
Arabic,ARE_002,osweb_ARE_002_2627,Y,615,0.8333333333333334
Arabic,ARE_002,osweb_ARE_002_2888,N,607.5,0.75
