Language,PSA_ID,Subject,Match,V_RT,V_Acc
English,CAN_020,site_CAN_020_54,Y,591.5,0.9166666666666666
English,CAN_020,site_CAN_020_56,N,641.5,0.8333333333333334
English,CAN_020,site_CAN_020_56,Y,829.5,0.9166666666666666
English,CAN_020,site_CAN_020_57,N,439,0.9166666666666666
English,CAN_020,site_CAN_020_57,Y,520.5,0.9166666666666666
English,CAN_020,site_CAN_020_58,N,602,1
English,CAN_020,site_CAN_020_58,Y,662,1
English,CAN_020,site_CAN_020_59,N,656.5,1
English,CAN_020,site_CAN_020_59,Y,690.5,1
English,CAN_020,site_CAN_020_6,N,594,1
English,CAN_020,site_CAN_020_6,Y,530.5,1
English,CAN_020,site_CAN_020_60,N,530.5,1
English,CAN_020,site_CAN_020_60,Y,562.5,1
English,CAN_020,site_CAN_020_61,N,743.5,1
English,CAN_020,site_CAN_020_61,Y,620,0.8333333333333334
English,CAN_020,site_CAN_020_62,N,529,0.9166666666666666
English,CAN_020,site_CAN_020_62,Y,504,1
English,CAN_020,site_CAN_020_63,N,752,1
English,CAN_020,site_CAN_020_63,Y,672,0.9166666666666666
English,CAN_020,site_CAN_020_64,N,510.5,0.9166666666666666
English,CAN_020,site_CAN_020_64,Y,481.5,1
English,CAN_020,site_CAN_020_65,N,630,1
English,CAN_020,site_CAN_020_65,Y,446.5,1
English,CAN_020,site_CAN_020_66,N,377.5,1
English,CAN_020,site_CAN_020_66,Y,398,1
English,CAN_020,site_CAN_020_67,N,632,0.9166666666666666
English,CAN_020,site_CAN_020_67,Y,543,1
English,CAN_020,site_CAN_020_68,N,618.5,1
English,CAN_020,site_CAN_020_68,Y,650,1
English,CAN_020,site_CAN_020_69,N,991.5,1
English,CAN_020,site_CAN_020_69,Y,964,1
English,CAN_020,site_CAN_020_7,N,497,0.9166666666666666
English,CAN_020,site_CAN_020_7,Y,500.5,1
English,CAN_020,site_CAN_020_70,N,626,0.5833333333333334
English,CAN_020,site_CAN_020_70,Y,534,0.8333333333333334
English,CAN_020,site_CAN_020_71,N,866,1
English,CAN_020,site_CAN_020_71,Y,1066.5,0.6666666666666666
English,CAN_020,site_CAN_020_72,N,525.5,1
English,CAN_020,site_CAN_020_72,Y,486.5,0.9166666666666666
English,CAN_020,site_CAN_020_73,N,583,0.9166666666666666
English,CAN_020,site_CAN_020_73,Y,589.5,0.9166666666666666
English,CAN_020,site_CAN_020_74,N,494,1
English,CAN_020,site_CAN_020_74,Y,609.5,0.9166666666666666
English,CAN_020,site_CAN_020_75,N,624.5,1
English,CAN_020,site_CAN_020_75,Y,711.5,0.8333333333333334
English,CAN_020,site_CAN_020_77,N,655.5,0.9166666666666666
English,CAN_020,site_CAN_020_77,Y,584.5,0.9166666666666666
English,CAN_020,site_CAN_020_78,N,729.5,0.9166666666666666
English,CAN_020,site_CAN_020_78,Y,494,1
English,CAN_020,site_CAN_020_79,N,602,0.9166666666666666
